Authors;Title;ID;Date;Konsortium;Publication Type;Quelle;Duplikat / Preprint
Catia Pesquita, Ernesto Jimenez-Ruiz, Jamie McCusker, Daniel Faria, Mauro Dragoni, Anastasia Dimou, Raphael Troncy, Sven Hertling, Fajar J. Ekaputra, Majlinda Llugiqi, Marta Sabou, Andreas Ekelhart, Heiko Paulheim, Anna Breit, Artem Revenko, Laura Waltersdorfer, Kheir Eddine Farfar, Sören Auer;Describing and Organizing Semantic Web and Machine Learning Systems in the SWeMLS-KG;DOI: 10.1007/978-3-031-33455-9_22;2023;Konsortium: NFDI4DataScience;bookSection;Quelle: Dimensons;ja
Maurizio Valle, Dirk Lehmhus, Christian Gianoglio, Edoardo Ragusa, Lucia Seminara, Stefan Bosse, Ali Ibrahim, Klaus-Dieter Thoben, Hauke Dierend, Osman Altun, Iryna Mozgova, Roland Lachmayer;Management of Research Field Data Within the Concept of Digital Twin;DOI: 10.1007/978-3-031-16281-7_20;2023;Konsortium: NFDI4Ing;bookSection;Quelle: Publikationsseite NFDI4Ing;
Catia Pesquita, Ernesto Jimenez-Ruiz, Jamie McCusker, Daniel Faria, Mauro Dragoni, Anastasia Dimou, Raphael Troncy, Sven Hertling, Debayan Banerjee, Pranav Ajit Nair, Ricardo Usbeck, Chris Biemann;GETT-QA: Graph Embedding Based T2T Transformer for Knowledge Graph Question Answering;DOI: 10.1007/978-3-031-33455-9_17;2023;Konsortium: NFDI4DataScience;bookSection;Quelle: Dimensons;ja
Esther Wortmann, Annika Osswald, David Wylensek, Wei Liang, Nicole Treichel, Fabian Schumacher, Colin Volet, Silke Matysik, Karin Kleigrewe, Michael Gigl, Sascha Rohn, Burkhard Kleuser, Gerhard Liebisch, Rizlan Bernier-Latmani, Angelika Schnieke, Krzysztof Flisikowski, Soeren Ocvirk, Thomas Clavel;Secondary bile acid production by gut bacteria promotes Western diet-associated colorectal cancer;10.1101/2023.03.17.533140;2023;Konsortium: NFDI4Microbiota;preprint;Quelle: Publikationsseite NFDI4Microbiota;
Frithjof Karsch, Hubert Simma, Tomoteru Yoshie;The International Lattice Data Grid -- towards FAIR Data;10.48550/ARXIV.2212.08392;2022;Konsortium: PUNCH4NFDI;preprint;Quelle: Publikationsseite PUNCH4NFDI;
Angelie Kraft, Ricardo Usbeck;"The Lifecycle of ""Facts"": A Survey of Social Bias in Knowledge Graphs";10.48550/ARXIV.2210.03353;2022;Konsortium: NFDI4DataScience;preprint;Quelle: Dimensons;
Torsten Bronger;Reference implementation of SciMesh in the samples database software JuliaBase;DOI: 10.5281/ZENODO.7357884;2022;Konsortium: NFDI4Ing;computerProgram;Quelle: Publikationsseite NFDI4Ing;
Martin Zurowietz;biigle/laravel-aruna-driver: v1.2;DOI: 10.5281/ZENODO.8385482;2023;Konsortium: NFDI4Biodiversity;computerProgram;Quelle: Zenodo Community NFDI4Biodiversity;
Florian Zimmermann, Andreas Filser, Georg-Christoph Haas, Sebastian Bähr;The IAB-SMART-Mobility Module: An Innovative Research Dataset with Mobility Indicators Based on Raw Geodata;10.1515/jbnst-2023-0051;2023;Konsortium: BERD@NFDI;journalArticle;Quelle: Dimensons;
Xiao-Ran Zhou, Sebastian Beier, Dominik Brilhaus, Cristina Martins Rodrigues, Timo Mühlhaus, Dirk Von Suchodoletz, Richard M. Twyman, Björn Usadel, Angela Kranz;DataPLAN: a web-based data management plan generator for the plant sciences;10.1101/2023.07.07.548147;2023;Konsortium: DataPLANT;preprint;Quelle: Dimensons;
Vicente A. Yépez, Mirjana Gusic, Robert Kopajtich, Christian Mertes, Nicholas H. Smith, Charlotte L. Alston, Rui Ban, Skadi Beblo, Riccardo Berutti, Holger Blessing, Elżbieta Ciara, Felix Distelmaier, Peter Freisinger, Johannes Häberle, Susan J. Hayflick, Maja Hempel, Yulia S. Itkis, Yoshihito Kishita, Thomas Klopstock, Tatiana D. Krylova, Costanza Lamperti, Dominic Lenz, Christine Makowski, Signe Mosegaard, Michaela F. Müller, Gerard Muñoz-Pujol, Agnieszka Nadel, Akira Ohtake, Yasushi Okazaki, Elena Procopio, Thomas Schwarzmayr, Joél Smet, Christian Staufner, Sarah L. Stenton, Tim M. Strom, Caterina Terrile, Frederic Tort, Rudy Van Coster, Arnaud Vanlander, Matias Wagner, Manting Xu, Fang Fang, Daniele Ghezzi, Johannes A. Mayr, Dorota Piekutowska-Abramczuk, Antonia Ribes, Agnès Rötig, Robert W. Taylor, Saskia B. Wortmann, Kei Murayama, Thomas Meitinger, Julien Gagneur, Holger Prokisch;Clinical implementation of RNA sequencing for Mendelian disease diagnostics;10.1186/s13073-022-01019-9;2022;Konsortium: GHGA;journalArticle;Quelle: Publikationsseite GHGA;
Xi Yan, Cedric Möller, Ricardo Usbeck;Biomedical Entity Linking with Triple-aware Pre-Training;10.48550/ARXIV.2308.14429;2023;Konsortium: NFDI4DataScience;preprint;Quelle: Dimensons;
Martin Zurowietz;biigle/flysystem-aruna: v1.0;DOI: 10.5281/ZENODO.8059139;2023;Konsortium: NFDI4Biodiversity;computerProgram;Quelle: Zenodo Community NFDI4Biodiversity;
M. Amin Yazdi, Marius Politze, Benedikt Heinrichs, Donatello Conte, Ana Fred, Oleg Gusikhin, Carlo Sansone;Research Data Reusability with Content-Based Recommender System;10.1007/978-3-031-39059-3_10;2023;Konsortium: NFDI4Ing;conferencePaper;Quelle: Publikationsseite NFDI4Ing;
Christoph Wulf, Matthias Beller, Thomas Boenisch, Olaf Deutschmann, Schirin Hanf, Norbert Kockmann, Ralph Kraehnert, Mehtap Oezaslan, Stefan Palkovits, Sonja Schimmler, Stephan A. Schunk, Kurt Wagemann, David Linke;A Unified Research Data Infrastructure for Catalysis Research – Challenges and Concepts;10.1002/cctc.202001974;2021;Konsortium: NFDI4Cat;journalArticle;Quelle: Scopus;
Sophie Wolf, Miguel D. Mahecha, Francesco Maria Sabatini, Christian Wirth, Helge Bruelheide, Jens Kattge, Álvaro Moreno Martínez, Karin Mora, Teja Kattenborn;Citizen science plant observations encode global trait patterns;10.1038/s41559-022-01904-x;2022;Konsortium: NFDI4Biodiversity;journalArticle;Quelle: Dimensons;
Knut Wittich, Michael Krämer, Nils Bottke, Stephan Andreas Schunk;Catalytic Dry Reforming of Methane: Insights from Model Systems;10.1002/cctc.201902142;2020;Konsortium: NFDI4Cat;journalArticle;Quelle: Dimensons;
Florian Wetzels, Christoph Garth;A Deformation-based Edit Distance for Merge Trees;10.1109/TopoInVis57755.2022.00010;2022;Konsortium: DataPLANT;conferencePaper;Quelle: Dimensons;
Philipp Wendland, Colin Birkenbihl, Marc Gomez-Freixa, Meemansa Sood, Maik Kschischo, Holger Fröhlich;Generation of realistic synthetic data using Multimodal Neural Ordinary Differential Equations;10.1038/s41746-022-00666-x;2022;Konsortium: NFDI4Health;journalArticle;Quelle: Dimensons;ja
Heinrich Lukas Weil, Kevin Schneider, Marcel Tschöpe, Jonathan Bauer, Oliver Maus, Kevin Frey, Dominik Brilhaus, Cristina Martins Rodrigues, Gajendra Doniparthi, Florian Wetzels, Jonas Lukasczyk, Angela Kranz, Björn Grüning, David Zimmer, Stefan Deßloch, Dirk Von Suchodoletz, Björn Usadel, Christoph Garth, Timo Mühlhaus;PLANTdataHUB:  a collaborative platform for continuous FAIR data sharing in plant research;10.1111/tpj.16474;2023;Konsortium: DataPLANT;journalArticle;Quelle: Dimensons;
Judith Weber, Barbara Ebert, Michael Diepenbroek, Ivaylo Kostadinov, Frank Oliver Glöckner;NFDI4BioDiversity - NFDI-Konsortium für Biodiversitäts-, Ökologische und Umweltdaten;10.17192/BFDM.2021.2.8334;2021;Konsortium: NFDI4Biodiversity;journalArticle;Quelle: Dimensons;
Nils Wagner, Muhammed H. Çelik, Florian R. Hölzlwimmer, Christian Mertes, Holger Prokisch, Vicente A. Yépez, Julien Gagneur;Aberrant splicing prediction across human tissues;10.1038/s41588-023-01373-3;2023;Konsortium: GHGA;journalArticle;Quelle: Dimensons;ja
Philipp Wendland, Colin Birkenbihl, Marc Gomez-Freixa, Meemansa Sood, Maik Kschischo, Holger Fröhlich;Generation of realistic synthetic data using multimodal neural ordinary differential equations;10.1101/2021.09.26.21263968;2021;Konsortium: NFDI4Health;preprint;Quelle: Dimensons;ja
Tobias Weber, Michael Ingrisch, Bernd Bischl, David Rügamer;Constrained Probabilistic Mask Learning for Task-specific Undersampled MRI Reconstruction;10.48550/ARXIV.2305.16376;2023;Konsortium: BERD@NFDI;preprint;Quelle: Dimensons;
Tobias Weber, Michael Ingrisch, Bernd Bischl, David Rügamer;Cascaded Latent Diffusion Models for High-Resolution Chest X-ray Synthesis;10.48550/ARXIV.2303.11224;2023;Konsortium: BERD@NFDI;preprint;Quelle: Dimensons;ja
Carina Nina Vorisek, Moritz Lehne, Sophie Anne Ines Klopfenstein, Paula Josephine Mayer, Alexander Bartschke, Thomas Haese, Sylvia Thun;Fast Healthcare Interoperability Resources (FHIR) for Interoperability in Health Research: Systematic Review;10.2196/35724;2022;Konsortium: NFDI4Health;journalArticle;Quelle: Dimensons;
Carlotta L. M. Von Meyenn, Stefan Palkovits;Prediction of suitable catalysts for the OCM reaction by combining an evolutionary approach and machine learning;10.1039/D2YA00312K;2023;Konsortium: NFDI4Cat;journalArticle;Quelle: Dimensons;
Oliver Vettermann, Grischka Petri;Should I CARE about FAIR? – Ein juristischer Blick auf Prinzipien des Forschungsdatenmanagements –;10.5771/2699-1284-2023-1-5;2023;Konsortium: NFDI4Culture;journalArticle;Quelle: Dimensons;
Annette Trunschke;Prospects and challenges for autonomous catalyst discovery viewed from an experimental perspective;10.1039/D2CY00275B;2022;Konsortium: FAIRmat;journalArticle;Quelle: Dimensons;
Frank Tristram, Nicole Jung, Patrick Hodapp, Rasmus R. Schröder, Christof Wöll, Stefan Bräse;The Impact of Digitalized Data Management on Materials Systems Workflows;10.1002/adfm.202303615;2023;Konsortium: FAIRmat;journalArticle;Quelle: Dimensons;
Gunnar S. Bali, Sara Collins, Peter Georg, Daniel Jenkins, Piotr Korcyl, Andreas Schäfer, Enno E. Scholz, Jakob Simeth, Wolfgang Söldner, Simon Weishäupl;Scale setting and the light baryon spectrum in Nf = 2 + 1 QCD with Wilson fermions;10.1007/JHEP05(2023)035;2023;Konsortium: PUNCH4NFDI;journalArticle;Quelle: Dimensons;ja
Katharina Teschke, Casper Kraan, Paul Kloss, Henrike Andresen, Jan Beermann, Dario Fiorentino, Manuela Gusky, Miriam L. S. Hansen, Rebecca Konijnenberg, Roland Koppe, Hendrik Pehlke, Dieter Piepenburg, Tawfik Sabbagh, Alexa Wrede, Thomas Brey, Jennifer Dannheim;CRITTERBASE, a science-driven data warehouse for marine biota;10.1038/s41597-022-01590-1;2022;Konsortium: NFDI4Biodiversity;journalArticle;Quelle: Dimensons;
Oliver Vettermann, Grischka Petri;Upload scientific video contributions;10.5281/zenodo.7929898;2023;Konsortium: NFDI4Culture;dataset;Quelle: Zenodo Community NFDI4Culture;
Thomas Unold;Accelerating research on novel photovoltaic materials;10.1039/D2FD00085G;2022;Konsortium: FAIRmat;journalArticle;Quelle: Dimensons;
Sandra Triebel, Konrad Sachse, Michael Weber, Martin Heller, Celia Diezel, Martin Hölzer, Christiane Schnee, Manja Marz;De novo genome assembly resolving repetitive structures enables genomic analysis of 35 European Mycoplasmopsis bovis strains;10.1186/s12864-023-09618-5;2023;Konsortium: NFDI4Microbiota;journalArticle;Quelle: Dimensons;
Andrew M. Teale, Trygve Helgaker, Andreas Savin, Carlo Adamo, Bálint Aradi, Alexei V. Arbuznikov, Paul W. Ayers, Evert Jan Baerends, Vincenzo Barone, Patrizia Calaminici, Eric Cancès, Emily A. Carter, Pratim Kumar Chattaraj, Henry Chermette, Ilaria Ciofini, T. Daniel Crawford, Frank De Proft, John F. Dobson, Claudia Draxl, Thomas Frauenheim, Emmanuel Fromager, Patricio Fuentealba, Laura Gagliardi, Giulia Galli, Jiali Gao, Paul Geerlings, Nikitas Gidopoulos, Peter M. W. Gill, Paola Gori-Giorgi, Andreas Görling, Tim Gould, Stefan Grimme, Oleg Gritsenko, Hans Jørgen Aagaard Jensen, Erin R. Johnson, Robert O. Jones, Martin Kaupp, Andreas M. Köster, Leeor Kronik, Anna I. Krylov, Simen Kvaal, Andre Laestadius, Mel Levy, Mathieu Lewin, Shubin Liu, Pierre-François Loos, Neepa T. Maitra, Frank Neese, John P. Perdew, Katarzyna Pernal, Pascal Pernot, Piotr Piecuch, Elisa Rebolini, Lucia Reining, Pina Romaniello, Adrienn Ruzsinszky, Dennis R. Salahub, Matthias Scheffler, Peter Schwerdtfeger, Viktor N. Staroverov, Jianwei Sun, Erik Tellgren, David J. Tozer, Samuel B. Trickey, Carsten A. Ullrich, Alberto Vela, Giovanni Vignale, Tomasz A. Wesolowski, Xin Xu, Weitao Yang;DFT exchange: sharing perspectives on the workhorse of quantum chemistry and materials science;10.1039/D2CP02827A;2022;Konsortium: FAIRmat;journalArticle;Quelle: Publikationsseite FAIRmat;
Yue Sun, Sandor Brockhauser, Péter Hegedűs, Christian Plückthun, Luca Gelisio, Danilo Enoque Ferreira De Lima;Application of self-supervised approaches to the classification of X-ray diffraction spectra during phase transitions;10.1038/s41598-023-36456-y;2023;Konsortium: FAIRmat;journalArticle;Quelle: Dimensons;
Umair Sultan, Katrin Städtke, Andreas Göpfert, Daniel Lemmen, Ezzeldin Metwali, Santanu Maiti, Carola Schlumberger, Tadahiro Yokosawa, Benjamin Apeleo Zubiri, Erdmann Spiecker, Nicolas Vogel, Tobias Unruh, Matthias Thommes, Alexandra Inayat;Substituting fossil-based with bio-based chemicals: the case of limonene as a greener pore expander for micellar templated silica;10.1039/D3SU00068K;2023;Konsortium: DAPHNE4NFDI;journalArticle;Quelle: Dimensons;
Dorothea Strecker, Sama Majidian, Lukas C. Bossert, Évariste Demandt, Henning Timm, Nicole Parks;Visualization of networks – analyzing and visualizing connections between (planned) NFDI consortia;DOI: 10.5281/ZENODO.5639360;2021;Konsortium: NFDI4Ing;computerProgram;Quelle: Publikationsseite NFDI4Ing;
Dorothea Strecker, Lukas C. Bossert, Évariste Demandt;Das Versprechen der Vernetzung der NFDI;10.17192/BFDM.2021.3.8336;2021;Konsortium: NFDI4Ing;journalArticle;Quelle: Publikationsseite NFDI4Ing;
Hiba Mohammed Taha, Reza Aalizadeh, Nikiforos Alygizakis, Jean-Philippe Antignac, Hans Peter H. Arp, Richard Bade, Nancy Baker, Lidia Belova, Lubertus Bijlsma, Evan E. Bolton, Werner Brack, Alberto Celma, Wen-Ling Chen, Tiejun Cheng, Parviel Chirsir, Ľuboš Čirka, Lisa D’Agostino, Yannick Djoumbou Feunang, Valeria Dulio, Stellan Fischer, Pablo Gago-Ferrero, Aikaterini Galani, Birgit Geueke, Natalia Głowacka, Juliane Glüge, Ksenia Groh, Sylvia Grosse, Peter Haglund, Pertti J. Hakkinen, Sarah E. Hale, Félix Hernández, Elisabeth M.-L. Janssen, Tim Jonkers, Karin Kiefer, Michal Kirchner, Jan Koschorreck, Martin Krauss, Jessy Krier, Marja H. Lamoree, Marion Letzel, Thomas Letzel, Qingliang Li, James Little, Yanna Liu, David M. Lunderberg, Jonathan W. Martin, Andrew D. McEachran, John A. McLean, Christiane Meier, Jeroen Meijer, Frank Menger, Carla Merino, Jane Muncke, Matthias Muschket, Michael Neumann, Vanessa Neveu, Kelsey Ng, Herbert Oberacher, Jake O'Brien, Peter Oswald, Martina Oswaldova, Jaqueline A. Picache, Cristina Postigo, Noelia Ramírez, Thorsten Reemtsma, Justin Renaud, Pawel Rostkowski, Heinz Rüdel, Reza Salek, Saer Samanipour, Martin Scheringer, Ivo Schliebner, Wolfgang Schulz, Tobias Schulze, Manfred Sengl, Benjamin A. Shoemaker, Kerry Sims, Heinz Singer, Randolph R. Singh, Mark Sumarah, Paul A. Thiessen, Kevin V. Thomas, Sonia Torres, Xenia Trier, Annemarie P. Van Wezel, Roel C. H. Vermeulen, Jelle J. Vlaanderen, Peter C. Von Der Ohe, Zhanyun Wang, Antony J. Williams, Egon L. Willighagen, David S. Wishart, Jian Zhang, Nikolaos S. Thomaidis, Juliane Hollender, Jaroslav Slobodnik, Emma L. Schymanski;The NORMAN Suspect List Exchange (NORMAN-SLE): Facilitating European and Worldwide Collaboration on Suspect Screening in High Resolution Mass Spectrometry;10.21203/rs.3.rs-1902466/v1;2022;Konsortium: NFDI4Chem;preprint;Quelle: Dimensons;ja
Hiba Taha, Reza Aalizadeh, Nikiforos Alygizakis, Jean-Philippe Antignac, Hans Peter H. Arp, Richard Bade, Nancy Baker, Lidia Belova, Lubertus Bijlsma, Evan E. Bolton, Werner Brack, Alberto Celma, Wen-Ling Chen, Tiejun Cheng, Parviel Chirsir, Ľuboš Čirka, Lisa A. D’Agostino, Yannick Djoumbou Feunang, Valeria Dulio, Stellan Fischer, Pablo Gago-Ferrero, Aikaterini Galani, Birgit Geueke, Natalia Głowacka, Juliane Glüge, Ksenia Groh, Sylvia Grosse, Peter Haglund, Pertti J. Hakkinen, Sarah E. Hale, Felix Hernandez, Elisabeth M.-L. Janssen, Tim Jonkers, Karin Kiefer, Michal Kirchner, Jan Koschorreck, Martin Krauss, Jessy Krier, Marja H. Lamoree, Marion Letzel, Thomas Letzel, Qingliang Li, James Little, Yanna Liu, David M. Lunderberg, Jonathan W. Martin, Andrew D. McEachran, John A. McLean, Christiane Meier, Jeroen Meijer, Frank Menger, Carla Merino, Jane Muncke, Matthias Muschket, Michael Neumann, Vanessa Neveu, Kelsey Ng, Herbert Oberacher, Jake O’Brien, Peter Oswald, Martina Oswaldova, Jaqueline A. Picache, Cristina Postigo, Noelia Ramirez, Thorsten Reemtsma, Justin Renaud, Pawel Rostkowski, Heinz Rüdel, Reza M. Salek, Saer Samanipour, Martin Scheringer, Ivo Schliebner, Wolfgang Schulz, Tobias Schulze, Manfred Sengl, Benjamin A. Shoemaker, Kerry Sims, Heinz Singer, Randolph R. Singh, Mark Sumarah, Paul A. Thiessen, Kevin V. Thomas, Sonia Torres, Xenia Trier, Annemarie P. Van Wezel, Roel C. H. Vermeulen, Jelle J. Vlaanderen, Peter C. Von Der Ohe, Zhanyun Wang, Antony J. Williams, Egon L. Willighagen, David S. Wishart, Jian Zhang, Nikolaos S. Thomaidis, Juliane Hollender, Jaroslav Slobodnik, Emma L. Schymanski;The NORMAN Suspect List Exchange (NORMAN-SLE): facilitating European and worldwide collaboration on suspect screening in high resolution mass spectrometry;10.1186/s12302-022-00680-6;2022;Konsortium: NFDI4Chem;journalArticle;Quelle: Dimensons;ja
Bin Sun, Kaushal Kumar Bhati, Peizhe Song, Ashleigh Edwards, Louise Petri, Valdeko Kruusvee, Anko Blaakmeer, Ulla Dolde, Vandasue Rodrigues, Daniel Straub, Junbo Yang, Guifang Jia, Stephan Wenkel, Claudia Köhler;FIONA1-mediated methylation of the 3’UTR of FLC affects FLC transcript levels and flowering in Arabidopsis;10.1371/journal.pgen.1010386;2022;Konsortium: DataPLANT;journalArticle;Quelle: Dimensons;
Philip Strömert, Johannes Hunold, André Castro, Steffen Neumann, Oliver Koepler;Ontologies4Chem: the landscape of ontologies in chemistry;10.1515/pac-2021-2007;2022;Konsortium: NFDI4Chem;journalArticle;Quelle: Publikationsseite NFDI4Chem;
Dorothea Strecker, Lukas C. Bossert, Évariste Demandt;Das Versprechen der Vernetzung: Workshop-Material;DOI: 10.5281/ZENODO.4322757;2020;Konsortium: NFDI4Ing;computerProgram;Quelle: Publikationsseite NFDI4Ing;
Sulaxan Somaskantharajan, Auriol Degbelo, Jakub Krukar;An Exploratory Study of Models of Mobile Map User Experience;10.1007/s42489-023-00136-8;2023;Konsortium: NFDI4Earth;journalArticle;Quelle: Dimensons;
Stian Soiland-Reyes, Peter Sefton, Mercè Crosas, Leyla Jael Castro, Frederik Coppens, José M. Fernández, Daniel Garijo, Björn Grüning, Marco La Rosa, Simone Leo, Eoghan Ó Carragáin, Marc Portier, Ana Trisovic, RO-Crate Community, Paul Groth, Carole Goble;Packaging research artefacts with RO-Crate;10.48550/ARXIV.2108.06503;2021;Konsortium: DataPLANT;preprint;Quelle: Dimensons;
Stian Soiland-Reyes, Leyla Jael Castro, Daniel Garijo, Marc Portier, Carole Goble, Paul Groth;Updating Linked Data practices for FAIR Digital Object principles;10.3897/rio.8.e94501;2022;Konsortium: NFDI4DataScience;journalArticle;Quelle: Dimensons;
Lucia Sohmen, Lozana Rossenova;Open refine to wikibase: a new data upload pipeline;10.1145/3529372.3530919;2022;Konsortium: NFDI4Culture;conferencePaper;Quelle: Scopus;
Annette Strauch;Die Bedeutung von ‚Use-Cases‘ für das qualitätsgerechte Forschungsdatenmanagement;10.1515/iwp-2020-2087;2020;Konsortium: NFDI4Objects;journalArticle;Quelle: Dimensons;
Christoph Steinbeck, Oliver Koepler, Sonja Herres-Pawlis, Felix Bach, Nicole Jung, Matthias Razum, Johannes C. Liermann, Steffen Neumann;NFDI4Chem - A Research Data Network for International Chemistry;10.1515/ci-2023-0103;2023;Konsortium: NFDI4Chem;journalArticle;Quelle: Publikationsseite NFDI4Chem;
Christoph Steinbeck, Oliver Koepler, Felix Bach, Sonja Herres-Pawlis, Nicole Jung, Johannes Liermann, Steffen Neumann, Matthias Razum, Carsten Baldauf, Frank Biedermann, Thomas Bocklitz, Franziska Boehm, Frank Broda, Paul Czodrowski, Thomas Engel, Martin Hicks, Stefan Kast, Carsten Kettner, Wolfram Koch, Giacomo Lanza, Andreas Link, Ricardo Mata, Wolfgang Nagel, Andrea Porzel, Nils Schlörer, Tobias Schulze, Hans-Georg Weinig, Wolfgang Wenzel, Ludger Wessjohann, Stefan Wulle;NFDI4Chem - Towards a National Research Data Infrastructure for Chemistry in Germany;10.3897/rio.6.e55852;2020;Konsortium: NFDI4Chem;journalArticle;Quelle: Publikationsseite NFDI4Chem;
Vladimir Starostin,, Linus Pithan,, Alessandro Greco,, Valentin Munteanu,, Alexander Gerlach,, Alexander Hinderhofer,, Frank Schreiber;End-to-End Deep Learning Pipeline for Real-Time Processing of Surface Scattering Data at Synchrotron Facilities;10.1080/08940886.2022.2112499;2022;Konsortium: DAPHNE4NFDI;journalArticle;Quelle: Publikationsseite DAPHNE4NFDI;
Xenia Specka, Daniel Martini, Claus Weiland, Daniel Arend, Senthold Asseng, Franziska Boehm, Til Feike, Juliane Fluck, David Gackstetter, Aida Gonzales-Mellado, Thomas Hartmann, Jan-Henrik Haunert, Florian Hoedt, Carsten Hoffmann, Patrick König, Matthias Lange, Stephan Lesch, Birte Lindstädt, Gunnar Lischeid, Markus Möller, Uwe Rascher, Jochen Christoph Reif, Markus Schmalzl, Matthias Senft, Ulrike Stahl, Nikolai Svoboda, Björn Usadel, Heidi Webber, Frank Ewert;FAIRagro: Ein Konsortium in der Nationalen Forschungsdateninfrastruktur (NFDI) für Forschungsdaten in der Agrosystemforschung: Herausforderungen und Lösungsansätze für den Aufbau einer FAIRen Forschungsdateninfrastruktur;10.1007/s00287-022-01520-w;2023;Konsortium: FAIRagro;journalArticle;Quelle: Dimensons;
Stian Soiland-Reyes, Peter Sefton, Leyla Jael Castro, Frederik Coppens, Daniel Garijo, Simone Leo, Marc Portier, Paul Groth;Creating lightweight FAIR Digital Objects with RO-Crate;10.3897/rio.8.e93937;2022;Konsortium: NFDI4DataScience;journalArticle;Quelle: Dimensons;
Maximilian Söchting, Miguel D. Mahecha, David Montero, Gerik Scheuermann;Lexcube: Interactive Visualization of Large Earth System Data Cubes;10.1109/MCG.2023.3321989;2023;Konsortium: NFDI4Earth;journalArticle;Quelle: Dimensons;
